	transactions	transaction	article	bitcoin	market	cryptocurrency	cryptocurrencies	economy	money	currency	place_holder_00	place_holder_01	place_holder_02	place_holder_03	place_holder_04	place_holder_05	place_holder_06	place_holder_07	place_holder_08	place_holder_09
word_count:2023_02	57.0	65.0	47.0	24.0	38.0	19.0	10.0	10.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_03	74.0	61.0	65.0	34.0	47.0	30.0	21.0	22.0	11.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_04	53.0	44.0	53.0	16.0	32.0	20.0	14.0	25.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_05	69.0	52.0	56.0	22.0	38.0	32.0	29.0	28.0	10.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_06	77.0	70.0	48.0	27.0	37.0	23.0	24.0	33.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_07	78.0	62.0	70.0	23.0	35.0	29.0	20.0	20.0	10.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_08	71.0	44.0	74.0	17.0	26.0	18.0	24.0	23.0	10.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_09	104.0	87.0	74.0	32.0	43.0	26.0	16.0	19.0	11.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_10	78.0	59.0	48.0	29.0	35.0	36.0	15.0	20.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_11	79.0	52.0	63.0	26.0	39.0	32.0	21.0	21.0	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
word_count:2023_12	94.0	74.0	97.0	29.0	49.0	26.0	19.0	28.0	9.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
